"OGE_ID","Name","Beschreibung","Vorraussetzungen","Type","Prio","Duration","Stepnum","Stepbeschr","Stepresult"
"","","","","","","","5.0","Prüfen ob die Kapazitätsspezifikationen (z.B. fest, unterbrechbar Höhe der Kapazität, Zeitraum) eingegeben werden können","die Kapazitätsspezifikationen (z.B. fest, unterbrechbar Höhe der Kapazität, Zeitraum)können  eingegeben werden"
"","","","","","","","6.0","Prüfen ob die Buchung getätigt werden kann (eingegebene Buchungsdaten sind möglich)","die Buchung kann getätigt werden "
"","","","","","","","7.0","automatische BK-Zuordnung durchführen","automatische BK-Zuordnung kann durchgeführt werden"
"","","","","","","","8.0","Prüfen ob die FZK-Buchung den ausgewähleten BK zugeordnet ist","FZK-Buchung ist  dem ausgewählten BK zuogeordnet"
"","","","","","","","9.0","Prüfen in dem Menü Buchungsübersicht, ob die Buchung sichtbar ist ","in dem Menü Buchungsübersicht ist die Buchung sichtbar "
"","","","","","","","10.0","Prüfen ob die Buchungsdaten ins cm importiert sind","die Buchungsdaten sind ins cm importiert "
"","","","","","","","11.0","Prüfen ob die Daten von cm zu SAP PI/BW exportiert sind","die Daten sind von cm zu SAP PI/BW exportiert"
"","","","","","","","12.0","Dialog ""Kommunikation mit Capacity""
 im MTS.cm öffnen","Im Dialog ""Kommunikation mit Capacity"" 
wird ein neuer Eintrag erzeugt. Dieser enthält 
die Kapazitätsanfrage und den Status der Nachricht
 ""ok"" zum Capacity.  Die XML-Datei 
der Nachricht ist aufrufbar"
"Testcase_08_FCFS_13","FCFS-Buchungen (TK_OGE) im .web nicht möglich","Login zum MTS.web
Angemeldeter OGE-TK. Netzpunkt OGE mit Kapazität vorhanden.","/PF 260.1/ Transportkunden der OGE dürfen Kapazitäten, die nach dem FCFS-Prinzip vergeben werden, nicht über die Entrix+ Plattform buchen können. Zukünftig stehen hier ausschließlich EGG-Punkte zur Buchung zur Verfügung.


","Regression","Major","","1.0","Prüfung ob der TK-User sich mit seinem Logindaten anmelden kann","der TK-User kann sich mit seinem Logindaten anmelden "
"","","","","","","","2.0","Prufen ob in MTS.web eine FZK_Buchung durchgeführt werden kann","im MTS.web kann keine FZK_Buchung durchgeführt werden "
"Testcase_08_FCFS_15","FCFS-Buchungen (NB_JB) ","Login zum MTS.web
Angemeldeter nachgelagerter Netzbetreiber (nNB). Netzpunkt EGG/OGE mit Kapazität vorhanden. ","/PF 261.1/ Transportkunden der EGG und nNB werden Kapazitäten, die nach dem FCFS-Prinzip vergeben werden, weiterhin über die Entrix+ Plattform buchen können.

Bestandsfunktion E+
","Regression","Critical","","1.0","Prüfung ob der NB-User sich mit seinem Logindaten anmelden kann","derNB-User kann sich mit seinem Logindaten anmelden "
"","","","","","","","2.0","Prufen ob in MTS.web eine IB-Buchung durchgeführt werden kann","in MTS.web kann eine IB-Buchung durchgeführt werden"
"","","","","","","","3.0","Prüfen, ob die übrigen Pflichtfelder angezeigt werden und die Daten angelegt werden können","die übrigen Pflichtfelder können angezeigt werden und die Daten werden angelegt"
"","","","","","","","4.0","Prüfen ob der Auswahlassistenten  geöfnet wird","der Auswahlassistenten  wird geöffnet"
"","","","","","","","5.0","prüfen ob die Daten( z.B. NB, Marktgebiet…) ausgewählt werden können ","die Daten können( z.B. NB, Marktgebiet…) ausgewählt werden "
"","","","","","","","6.0","Prüfen ob die Kapazitätsspezifikationen (z.B. fest, unterbrechbar Höhe der Kapazität, Zeitraum) eingegeben werden können","die Kapazitätsspezifikationen (z.B. fest, unterbrechbar Höhe der Kapazität, Zeitraum)können  eingegeben werden"
"","","","","","","","7.0","Prüfen ob die Buchung betätigt werden kann","die Buchung kann betätigt werden "
"","","","","","","","8.0","Prüfen in dem Menü Buchungsübersicht die Buchung sichtbar ist "," in dem Menü Buchungsübersicht ist die Buchung sichtbar "
"","","","","","","","9.0","Prüfen ob die Buchungsdaten ins cm importiert sind","die Buchungsdaten sind ins cm importiert "
"","","","","","","","10.0","Prüfen ob die Daten von cm zu SAP PI/BW exportiert sind","die Daten sind von cm zu SAP PI/BW exportiert"
"","","","","","","","11.0","Dialog ""Kommunikation mit Capacity""
 im MTS.cm öffnen","Im Dialog ""Kommunikation mit Capacity"" 
wird ein neuer Eintrag erzeugt. Dieser enthält 
die Kapazitätsanfrage und den Status der Nachricht
 ""ok"" zum Capacity.  Die XML-Datei 
der Nachricht ist aufrufbar"
"Testcase_08_FCFS_15","FCFS-Buchungen (NB_uJB) ","Login zum MTS.web
Angemeldeter nachgelagerter Netzbetreiber (nNB). Netzpunkt EGG/OGE mit Kapazität vorhanden. ","/PF 261.1/ Transportkunden der EGG und nNB werden Kapazitäten, die nach dem FCFS-Prinzip vergeben werden, weiterhin über die Entrix+ Plattform buchen können.

Bestandsfunktion E+
","Functional","Minor","","1.0","Prüfung ob der NB-User sich mit seinem Logindaten anmelden kann","der NB-User kann sich mit seinem Logindaten anmelden "
"","","","","","","","2.0","Prufen ob in MTS.web eine uJB-IB-Buchung durchgeführt werden kann","in MTS.web kann eine uJB-IB-Buchung durchgeführt werden"
"","","","","","","","3.0","Prüfen, ob die übrigen Pflichtfelder angezeigt werden und die Daten angelegt werden können","die übrigen Pflichtfelder können angezeigt werden und die Daten werden angelegt"
"","","","","","","","4.0","Prüfen ob der Auswahlassistenten  geöfnet wird","der Auswahlassistenten  wird geöffnet"
"","","","","","","","5.0","prüfen ob die Daten( z.B. NB, Marktgebiet…) ausgewählt werden können ","die Daten können( z.B. NB, Marktgebiet…) ausgewählt werden "
"","","","","","","","6.0","Prüfen ob die Kapazitätsspezifikationen (z.B. fest, unterbrechbar Höhe der Kapazität, Zeitraum) eingegeben werden können","die Kapazitätsspezifikationen (z.B. fest, unterbrechbar Höhe der Kapazität, Zeitraum)können  eingegeben werden"
"","","","","","","","7.0","Prüfen ob die Buchung getätigt werden kann","die Buchung kann getätigt werden "
"","","","","","","","8.0","Prüfen in dem Menü Buchungsübersicht die Buchung sichtbar ist "," in dem Menü Buchungsübersicht ist die Buchung sichtbar "
"","","","","","","","9.0","Prüfen ob die Buchungsdaten ins cm importiert sind","die Buchungsdaten sind ins cm importiert "
"","","","","","","","10.0","Prüfen ob die Daten von cm zu SAP PI/BW exportiert sind","die Daten sind von cm zu SAP PI/BW exportiert"
"","","","","","","","11.0","Dialog ""Kommunikation mit Capacity""
 im MTS.cm öffnen","Im Dialog ""Kommunikation mit Capacity"" 
wird ein neuer Eintrag erzeugt. Dieser enthält 
die Kapazitätsanfrage und den Status der Nachricht
 ""ok"" zum Capacity.  Die XML-Datei 
der Nachricht ist aufrufbar"
"Testcase_08_FCFS_16","Zur Verfügung stehende Funktionalitäten für OGE-TK im Entrix+","Angemeldeter OGE-TK mit BK-Zuordnung. Netzpunkt OGE mit Kapazität vorhanden. ","Zuordnungsassistenten (Verwaltung BK/SBK), Leitungskarte und Vertragsexplorer.","Regression","Minor","","1.0","Prüfung ob der TK-User sich mit seinem Logindaten anmelden kann","der TK-User kann sich mit seinem Logindaten anmelden "
"","","","","","","","2.0","Prüfen ob der TK-User folgende Funktionalitäten im web aufrufen kann:","der TK-User kann folgende Funktionalitäten im web aufrufen "
"","","","","","","","3.0","Prüfen ob TK-User die Leitungskarte öffnen kann","TK-User kann die Leitungskarte öffnen "
"","","","","","","","4.0","Prüfen ob TK-User den Vertragexplorer öffnen kann","TK-User kann den Vertragexplorer öffnen "
"","","","","","","","5.0","Prüfen, ob der TK-User den Dialog BK-Zuordnung öffnen kann","TK-User kann den Dialog BK-Zuordnung öffnen"
"Testcase_08_FCFS_17","Auswirkung Netzpunkteinstellungen auf FCFS-Buchung (NB)","Angemeldeter NB. Netzpunkte vorhanden mit verschiedenen Ausprägungen:
nicht sichtbar; nicht buchbar; nur fest buchbar; EFP nicht buchbar","Prüfung, ob verschiedene Einstellungen am NPKT Auswirkungen haben auf das Verhalten des FCFS-Buchungsassistenten.","Regression","Major","","1.0","Prüfung, ob nicht sichtbarer NPKT angezeigt wird","der nicht sichtbare NPKT wird nicht angezeigt"
"","","","","","","","2.0","Prüfung, ob nicht buchbarer NPKT ausgewählt werden kann","der nicht buchbare NPKT kann nicht ausgewählt werden"
"","","","","","","","3.0","Prüfung, ob nicht fest buchbarer NPKT ausgewählt werden kann","der nur fest buchbare NPKT kann nicht ausgewählt werden"
"","","","","","","","4.0","Prüfung, ob EFP nicht angeboten wird, wenn angefragte Kap > verfügbare Kap","EFP wird nicht angeboten"
"","","","","","","","5.0","Pürfung, ob nur NPKT, die dem NB (als ngNB) zugeordnet sind, ausgewählt werden können","NPKT, der dem NB nicht zugeordnet ist, kann nicht ausgewählt werden"
"Testcase_08_FCFS_17","Auswirkung Netzpunkteinstellungen auf FCFS-Buchung (TK)","Angemeldeter EGG-TK. Netzpunkte EGG vorhanden mit verschiedenen Ausprägungen:
nicht sichtbar; nicht buchbar; nur fest buchbar; Entry bzw. Exit, OGE","Prüfung, ob verschiedene Einstellungen am NPKT Auswirkungen haben auf das Verhalten des FCFS-Buchungsassistenten.","Regression","Major","","1.0","Prüfung, ob nicht sichtbarer NPKT angezeigt wird","der nicht sichtbare NPKT wird nicht angezeigt"
"","","","","","","","2.0","Prüfung, ob nicht buchbarer NPKT ausgewählt werden kann","der nicht buchbare NPKT kann nicht ausgewählt werden"
"","","","","","","","3.0","Prüfung, ob nicht fest buchbarer NPKT fest gebucht werden kann","der nur fest buchbare NPKT kann nicht ausgewählt werden, wenn feste Kap gebucht werden soll"
"","","","","","","","4.0","Prüfung, ob Exit-Punkt nur als Exit gebucht werden kann","der Exit-NPKT kann nicht ausgewählt werden, wenn Entry-Buchung gewählt ist"
"","","","","","","","5.0","Prüfung, ob Entry-Punkt nur als Entry gebucht werden kann","der Entry-NPKT kann nicht ausgewählt werden, wenn Exit-Buchung gewählt ist"
"","","","","","","","6.0","Prüfung, ob OGE-NPKT nicht buchbar ist","der OGE-NPKT wird nicht angezeigt"
"","","","","","","","7.0","Pürfung, ob NKP-IB nicht ausgewählt werden kann","NKP-IB kann nicht ausgewählt werden"
"Testcase_08_FCFS_CC-SST","SST-Test zu CC","Abstimmung mit CC","Kontrolle der SST zu CC in verschiedenen Buchungssituationen","Functional","Critical","","1.0","",""
"Testcase_12_PROD_1","Test: [KapMan2011] UC12_TP_Produktgenerierung_Tagesprodukt_FZK_Exit","Auktionskalender für diese Produktart und diesen Zeitraum auf der PKP muss vorhanden sein. Am Netzpunkt steht der Parameter ""Auktionsrelevant"" auf ja.","A1: Produkte sollen automatisch vom MTS.cm generiert und Schnittstellen-konform an die PKP kommuniziert werden.
A5: Je Produktart (Tage-, Monats-, Quartals- und Jahresprodukte) muss es möglich sein, allgemein (in Form einer Regel, z.B. Cron-Ausdruck) einen bestimmten Termin (Datum und Uhrzeit) festzulegen, an dem Produkte dieser Art erstellt werden (Auktionskalender).
/PF 246.1/ Die Berechnung des Produktes findet im CC statt. 
/PF 093.1/ Die von CC empfangenen Produkte werden zur Auktion an die PKP geschickt.","Regression","Major","","1.0","Im Auktionskalender des MTS.cm den gewünschten Zeitpunkt der Generierung des Produktes über das Kontextmenu wählen durch Klicken auf ""Neuer Auktionstermin"" erzeugen","Dialog ""Neuer Auktionstermin"" öffnet sich"
"","","","","","","","2.0","Daten des neuen Produktes Zusammenstellen:
|Gültig von:| xx.xx.xxxx, 06.00 Uhr|
|Gültig bis:| xx.xx.xxxx, 06.00 Uhr|
|Übertragungsdatum|:(zeitnahen Termin)
|Auktionsbeginn| xx.xx.xxxx, xx.xx Uhr|
|Kapazitätstyp|frei zuordenbare Kapazität (FZK)|
|Richtung| Exit|
|Produktart| Tagesprodukt|","Einstellmöglichkeiten für alle relevanten Produktdaten sind vorhanden"
"","","","","","","","3.0","Geeigneten Netzpunkt auswählen und Produktvorschau öffnen","Im Bereich ""Netzpunkte"" werden relevante MÜP's und GÜP's angezeigt incl. ""auktionsrelevant -  ja/nein"", in der Produktvorschau werden die Daten zum Produkt incl. Kapazitätszeitreihen angezeigt."
"","","","","","","","4.0","Produkt generieren","Produkt wird erfolgreich erstellt"
"","","","","","","","5.0"," Auktionstermin abspeichern","Für die Produktart ""Tagesprodukt"" und den Typ ""FZK"" wurde der Zeitpunkt der Generierung, des Versands und dessen Laufzeit erfolgreich gespeichert und ist im Auktionskalender sichtbar"
"","","","","","","","6.0","Dialog ""Kommunikation mit Capacity"" im MTS.cm öffnen und die Nachrichten der Produkterstellung prüfen","Im Dialog ""Kommunikation mit Capacity"" wird ein neuer Eintrag erzeugt. Dieser enthält die ""Erstelle Produkt""-Anfrage und den Response vom CC indem das Produkt enthalten ist sowie den Status der Nachricht.  Die XML-Datei der Nachrichten ist aufrufbar. Die Daten des erhaltenen Produktes sind konsistent zu den im Auktionskalender eingestellten Werten "
"","","","","","","","7.0","Erzeugtes Produkt exportieren (manuell) über Exportschnittstelle des MTS.cm","Produkt kann erfolgreich exportiert werden"
"Testcase_12_PROD_10","Zuordnung Rückgaben zur Rückgaben-Zeitreihe (Capacity - MTS.cm) - FZK Entry","Am Netzpunkt sind Kapazitätszeitreihen für Rückgaben auf Zeitreihen aus Capacity gemappt bzw. konfiguriert","A7. Bei der Produktgenerierung müssen die folgenden Kapazitätsquellen berücksichtigt werden können: TVK, Kapazität aus Renominierungsbeschränkungen, Zusatzmenge, Kapazität aus Rückgaben.
""Zeitreihen werden im MTS.cm nicht persistent vorgehalten, da diese grundsätzlich im CC gespeichert sind. MTS.cm ruft die genannten Zeitreihen: Rückgaben des Kapazitätstyps in Release 2
aus dem CC über die bereitgestellten Webservices ab.""","Functional","Major","","1.0","Im MTS.cm Netzpunkt öffnen und Zeitreihe für Rückgaben FZK Entry markieren. (Alternativ vorher Zeitreihe Rückgabe über Dialog hinzufügen falls Zeitreihe noch nicht vorhanden)","Zeitreihe für Kapazitätsrückgabe ist vorhanden"
"","","","","","","","2.0","Markierte Zeitreihe für Rückgaben öffnen","Zeitreihe wird angezeigt"
"","","","","","","","3.0","Dialog ""Kommunikation mit Capacity"" im MTS.cm öffnen und die Abruf der Zeitreihen prüfen","Im Dialog ""Kommunikation mit Capacity"" wird ein neuer Eintrag erzeugt. Dieser enthält die ""Zeitreihenabruf""-Anfrage und den Response vom CC indem die Zeitreihe enthalten ist sowie den Status der Nachricht.  Die XML-Datei der Nachrichten ist aufrufbar. Die"
"Testcase_12_PROD_11","Test: [KapMan2011] Produktdialog - UC12_TP_Produktzusammensetzung - Generierte Produkte einsehen - Jahresprodukte","Es wurden über den Auktionsdialog Jahresprodukte generiert","A3: Ein versendetes Produkt soll gespeichert werden und muss jederzeit einsehbar sein. Dabei muss die Zusammensetzung des Produktes (verschiedene Kapazitätsarten) in Form von Summenzeitreihen mindestens tabellarisch eingesehen werden können.","Regression","Major","","1.0","Im MTS.cm Flexgrid [PROD ]für Produktübersicht öffnen und in Spalte ""Produkttyp"" ""Jahresprodukt"" eingeben oder auswählen
","Es werden alle generierten Jahresprodukte mit den im MTS.cm typischerweise enthaltenen Sortierungs- und Gruppierungsmöglichkeiten dargestellt"
"","","","","","","","2.0","Prüfen, ob im MTS.cm Export-Dialog ein Eintrag für den Export von Produkten an die PKP vorhanden ist und die zugehörige XML-Datei geöffnet werden kann
","Im MTS.cm Export-Dialog ist ein Eintrag für jeden Export eines Produkts an die PKP vorhanden; die zugehörigen XML-Dateien können geöffnet werden "
"","","","","","","","3.0","Ein Produkt über das Flexgrid [PROD] öffnen","Das Produkt wird mit der Zusammensetzung des Kapazitätsrechtecks angezeigt"
"Testcase_12_PROD_11_Jahresprodukt_einsehen","Test: [KapMan2011] Produktdialog - UC12_TP_Produktzusammensetzung - Generierte Produkte einsehen - Jahresprodukte","Es wurden über den Auktionsdialog Jahresprodukte generiert
Wenn Vermarktungsreihenfolge aktiv ist; Produkt auf Fall 5 verwenden","A3: Ein versendetes Produkt soll gespeichert werden und muss jederzeit einsehbar sein. Dabei muss die Zusammensetzung des Produktes (verschiedene Kapazitätsarten) in Form von Summenzeitreihen mindestens tabellarisch eingesehen werden können.
/PF 093.4/
/PF 252.1/
/PF 105.1/
/PF 248.1/
/PF 248.2/
","Regression","Major","","1.0","Im MTS.cm Flexgrid [PROD] für Produktübersicht öffnen und in Spalte ""Produkttyp"" ""Jahresprodukt"" eingeben oder auswählen
","Es werden alle generierten Jahresprodukte mit den im MTS.cm typischerweise enthaltenen Sortierungs- und Gruppierungsmöglichkeiten dargestellt"
"","","","","","","","2.0","Prüfen, ob im MTS.cm Export-Dialog ein Eintrag für den Export von Produkten an die PKP vorhanden ist und die zugehörige XML-Datei geöffnet werden kann
","Im MTS.cm Export-Dialog ist ein Eintrag für jeden Export eines Produkts an die PKP vorhanden; die zugehörigen XML-Dateien können geöffnet werden "
"","","","","","","","3.0","Ein Produkt über das Flexgrid [PROD] öffnen","Das Produkt wird mit der Zusammensetzung des Kapazitätsrechtecks angezeigt"
"","","","","","","","4.0","Wenn Vermarktungsreihenfolge aktiv ist; Prüfung, ob alle ZR angezeigt werden","FZK, Renom- und Rückgabekapazität werden angezeigt"
"Testcase_12_PROD_12","Test: [KapMan2011] Produktdialog - UC12_TP_Produktzusammensetzung - Generierte Produkte einsehen - Quartalsprodukte","Es wurden über den Auktionsdialog Quartalsprodukte generiert","A3: Ein versendetes Produkt soll gespeichert werden und muss jederzeit einsehbar sein. Dabei muss die Zusammensetzung des Produktes (verschiedene Kapazitätsarten) in Form von Summenzeitreihen mindestens tabellarisch eingesehen werden können.","Functional","Major","","1.0","Im MTS.cm Flexgrid [PROD ]für Produktübersicht öffnen und in Spalte ""Produkttyp"" ""Quartalsprodukt"" eingeben oder auswählen
","Es werden alle generierten Quartalsprodukt mit den im MTS.cm typischerweise enthaltenen Sortierungs- und Gruppierungsmöglichkeiten dargestellt"
"","","","","","","","2.0","Prüfen, ob im MTS.cm Export-Dialog ein Eintrag für den Export von Produkten an die PKP vorhanden ist und die zugehörige XML-Datei geöffnet werden kann
","Im MTS.cm Export-Dialog ist ein Eintrag für jeden Export eines Produkts an die PKP vorhanden; die zugehörigen XML-Dateien können geöffnet werden "
"","","","","","","","3.0","Ein Produkt über das Flexgrid [PROD] öffnen","Das Produkt wird mit der Zusammensetzung des Kapazitätsrechtecks angezeigt"
"Testcase_12_PROD_12_Quartalsprodukt_einsehen","Test: [KapMan2011] Produktdialog - UC12_TP_Produktzusammensetzung - Generierte Produkte einsehen - Quartalsprodukte","Es wurden über den Auktionsdialog Quartalsprodukte generiert","A3: Ein versendetes Produkt soll gespeichert werden und muss jederzeit einsehbar sein. Dabei muss die Zusammensetzung des Produktes (verschiedene Kapazitätsarten) in Form von Summenzeitreihen mindestens tabellarisch eingesehen werden können.
/PF 093.4/
/PF 252.1/
/PF 105.1/
/PF 248.1/
/PF 248.2/
","Functional","Major","","1.0","Im MTS.cm Flexgrid [PROD ]für Produktübersicht öffnen und in Spalte ""Produkttyp"" ""Quartalsprodukt"" eingeben oder auswählen
","Es werden alle generierten Quartalsprodukt mit den im MTS.cm typischerweise enthaltenen Sortierungs- und Gruppierungsmöglichkeiten dargestellt"
"","","","","","","","2.0","Prüfen, ob im MTS.cm Export-Dialog ein Eintrag für den Export von Produkten an die PKP vorhanden ist und die zugehörige XML-Datei geöffnet werden kann
","Im MTS.cm Export-Dialog ist ein Eintrag für jeden Export eines Produkts an die PKP vorhanden; die zugehörigen XML-Dateien können geöffnet werden "
"","","","","","","","3.0","Ein Produkt über das Flexgrid [PROD] öffnen","Das Produkt wird mit der Zusammensetzung des Kapazitätsrechtecks angezeigt"
"Testcase_12_PROD_13","Test: [KapMan2011] Produktdialog - UC12_TP_Produktzusammensetzung - Generierte Produkte einsehen - Monatsprodukte","Es wurden über den Auktionsdialog Monatsprodukte generiert","A3: Ein versendetes Produkt soll gespeichert werden und muss jederzeit einsehbar sein. Dabei muss die Zusammensetzung des Produktes (verschiedene Kapazitätsarten) in Form von Summenzeitreihen mindestens tabellarisch eingesehen werden können.","Functional","Major","","1.0","Im MTS.cm Flexgrid [PROD ]für Produktübersicht öffnen und in Spalte ""Produkttyp"" ""Monatsprodukt"" eingeben oder auswählen
","Es werden alle generierten Monatsprodukte mit den im MTS.cm typischerweise enthaltenen Sortierungs- und Gruppierungsmöglichkeiten dargestellt"
"","","","","","","","2.0","Prüfen, ob im MTS.cm Export-Dialog ein Eintrag für den Export von Produkten an die PKP vorhanden ist und die zugehörige XML-Datei geöffnet werden kann
","Im MTS.cm Export-Dialog ist ein Eintrag für jeden Export eines Produkts an die PKP vorhanden; die zugehörigen XML-Dateien können geöffnet werden "
"","","","","","","","3.0","Ein Produkt über das Flexgrid [PROD] öffnen","Das Produkt wird mit der Zusammensetzung des Kapazitätsrechtecks angezeigt"
"Testcase_12_PROD_13_Monatsprodukt_einsehen","Test: [KapMan2011] Produktdialog - UC12_TP_Produktzusammensetzung - Generierte Produkte einsehen - Monatsprodukte","Es wurden über den Auktionsdialog Monatsprodukte generiert","A3: Ein versendetes Produkt soll gespeichert werden und muss jederzeit einsehbar sein. Dabei muss die Zusammensetzung des Produktes (verschiedene Kapazitätsarten) in Form von Summenzeitreihen mindestens tabellarisch eingesehen werden können.
/PF 093.4/
/PF 252.1/
/PF 105.1/
/PF 248.1/
/PF 248.2/
","Functional","Major","","1.0","Im MTS.cm Flexgrid [PROD ]für Produktübersicht öffnen und in Spalte ""Produkttyp"" ""Monatsprodukt"" eingeben oder auswählen
","Es werden alle generierten Monatsprodukte mit den im MTS.cm typischerweise enthaltenen Sortierungs- und Gruppierungsmöglichkeiten dargestellt"
"","","","","","","","2.0","Prüfen, ob im MTS.cm Export-Dialog ein Eintrag für den Export von Produkten an die PKP vorhanden ist und die zugehörige XML-Datei geöffnet werden kann
","Im MTS.cm Export-Dialog ist ein Eintrag für jeden Export eines Produkts an die PKP vorhanden; die zugehörigen XML-Dateien können geöffnet werden "
"","","","","","","","3.0","Ein Produkt über das Flexgrid [PROD] öffnen","Das Produkt wird mit der Zusammensetzung des Kapazitätsrechtecks angezeigt"
"Testcase_12_PROD_14","Test: [KapMan2011] Produktdialog - UC12_TP_Produktzusammensetzung - Generierte Produkte einsehen - Tagesprodukte","Es wurden über den Auktionsdialog Tagesprodukte generiert","A3: Ein versendetes Produkt soll gespeichert werden und muss jederzeit einsehbar sein. Dabei muss die Zusammensetzung des Produktes (verschiedene Kapazitätsarten) in Form von Summenzeitreihen mindestens tabellarisch eingesehen werden können.","Functional","Major","","1.0","Im MTS.cm Flexgrid [PROD ]für Produktübersicht öffnen und in Spalte ""Produkttyp"" ""Tagesprodukt"" eingeben oder auswählen
","Es werden alle generierten Tagesprodukte mit den im MTS.cm typischerweise enthaltenen Sortierungs- und Gruppierungsmöglichkeiten dargestellt"
"","","","","","","","2.0","Prüfen, ob im MTS.cm Export-Dialog ein Eintrag für den Export von Produkten an die PKP vorhanden ist und die zugehörige XML-Datei geöffnet werden kann
","Im MTS.cm Export-Dialog ist ein Eintrag für jeden Export eines Produkts an die PKP vorhanden; die zugehörigen XML-Dateien können geöffnet werden "
"","","","","","","","3.0","Ein Produkt über das Flexgrid [PROD] öffnen","Das Produkt wird mit der Zusammensetzung des Kapazitätsrechtecks angezeigt"
"Testcase_12_PROD_14_Tagesprodukt_einsehen","Test: [KapMan2011] Produktdialog - UC12_TP_Produktzusammensetzung - Generierte Produkte einsehen - Tagesprodukte","Es wurden über den Auktionsdialog Tagesprodukte generiert
","A3: Ein versendetes Produkt soll gespeichert werden und muss jederzeit einsehbar sein. Dabei muss die Zusammensetzung des Produktes (verschiedene Kapazitätsarten) in Form von Summenzeitreihen mindestens tabellarisch eingesehen werden können.
/PF 093.4/
/PF 252.1/
/PF 105.1/
/PF 248.1/
/PF 248.2/
","Functional","Major","","1.0","Im MTS.cm Flexgrid [PROD ]für Produktübersicht öffnen und in Spalte ""Produkttyp"" ""Tagesprodukt"" eingeben oder auswählen
","Es werden alle generierten Tagesprodukte mit den im MTS.cm typischerweise enthaltenen Sortierungs- und Gruppierungsmöglichkeiten dargestellt"
"","","","","","","","2.0","Prüfen, ob im MTS.cm Export-Dialog ein Eintrag für den Export von Produkten an die PKP vorhanden ist und die zugehörige XML-Datei geöffnet werden kann
","Im MTS.cm Export-Dialog ist ein Eintrag für jeden Export eines Produkts an die PKP vorhanden; die zugehörigen XML-Dateien können geöffnet werden "
"","","","","","","","3.0","Ein Produkt über das Flexgrid [PROD] öffnen","Das Produkt wird mit der Zusammensetzung des Kapazitätsrechtecks angezeigt"
"Testcase_12_PROD_15_auto_gen","Test: [KapMan2011] Produktdialog - UC12_TP_automatische Produktgenerierung","Login zum MTS.cm.
Eintrag im Auktionskalender liegt vor - Produktbildung ist möglich;
Übertragungsdatum ist abgelaufen","/PF 246.1/
 Der Prozess der Produkterstellung startet immer zum definierten Zeitpunkt (= ‚Übertragungsdatum’ im Auktionskalender). 
Dies ist der Zeitpunkt, an dem Entrix+ die Produkte automatisiert am CapaCity anfragt. 
/PF 093.1/
Die von CC empfangenen Produkte werden durch Entrix+ validiert (Produkt wird auf Basis der Buchungen im Entrix+ separat gebildet und mit dem vom CC empfangenen Produkt verglichen). 
/PF 093.3/
Zeigt die Validierung keinen Unterschied, wird das Produkt unmittelbar an die PKP gesendet.","Regression","Critical","","1.0","Öffnen des [PROD] Flexgrids und prüfen, ob das Produkt erstellt wurde","Produkt ist gespeichert worden; Erstellungsdatum entspricht (+ max 10 Min) dem Übertragungsdatum im Auktionskalender"
"","","","","","","","2.0","Öffnen des Export-Dialogs und Prüfen, ob das Produkt erfolgreich exportiert wurde","Produkt ist unmittlebar (+ max 5 Min) nach der Erstellung erfolgreich exportiert worden"
"Testcase_12_PROD_17_check_Parameter","Test: [KapMan2011] Produktdialog - UC12_TP_Parameter 'Auktionsrelevant' bzw. 'Sichtbar'","Login zum MTS.cm.
Eintrag im Auktionskalender liegt vor;
NPKT im Produktzeitraum liegt vor, der auktionsrelevant, aber nicht buchbar oder nicht sichtbar ist (im CapaCity)","/PF 086.1/
/PF 331.1/ Die Produktgestaltung wird durch den Auktionskalender für alle relevanten Netzpunkte gestartet (abhängig vom Netzpunkttyp). Von der Produkterstellung ausgenommen werden Netzpunkte, die durch den Wert ‚nein’ im Parameter  ‚Auktionsrelavant’ entsprechend markiert sind.

","Functional","Major","","1.0","Prüfen, ob die Einstellung 'Auktionsrelevant' der Einstellung des Parameters am Netzpunkt entspricht","Auktionsrelevant im Auktionskalender ist gesetzt, wenn im Zeitraum von 'Übertragungsdatum' bis Ende Produktlaufzeit der Parameter am Netzpunkt gesetzt ist"
"","","","","","","","2.0","Manuell an einem NPKT 'auktionsrelevant' einschalten","Schalter ist gesetzt und wird auch bei erneutem Öffnen des Kalendereintrags als gesetzt gekennzeichnet"
"","","","","","","","3.0","Manuell an einem NPKT 'auktionsrelevant' ausschalten","Schalter ist nicht gesetzt und wird auch bei erneutem Öffnen des Kalendereintrags als nicht gesetzt gekennzeichnet"
"","","","","","","","4.0","Prüfen, ob 'auktionsrelevant' berücksichtigt wird","nach Ablauf des Übertragungsdatums werden keine Produkte gespeichert und exportiert an NPKT, die nicht 'auktionsrelevant sind,"
"","","","","","","","5.0","Produktabfrage scheitert, an einem NPKT, der auktionsrelvant, aber nicht buchbar oder sichtbar ist","Im Dialog ""Kommunikation mit Capacity"" ist ein ensprechender Fehlereintrag erzeugt worden"
"Testcase_12_PROD_18_storno","Test: [KapMan2011] Produktdialog - UC12_Produkt_stornieren","Produkt ist vorhanden","Produkt wird storniert über Produktgenerierungsdialog","Functional","Major","","1.0","ein bereits angelegtes Produkt im Auktionskalender erneut öffnen","Das Produkt wird geöffnet"
"","","","","","","","2.0","den Dialog Produktvorschau öffnen","Die Produktvorschau wird geöffnet"
"","","","","","","","3.0","Stornierung über Schaltfläche löschen ausführen","das Produkt ist gelöscht"
